bpftrace-scripts/ssd-io.bt:4:12-14: WARNING: comparison of integers of different signs: 'unsigned int32' and 'int64' can lead to undefined behavior
/args->dev == ((259 << 20) | 0)/ // Match major=259, minor=0
           ~~
Attaching 1 probe...
14047199180468, W, 4096, 1136379400, 8
14047199187952, W, 4096, 1139356296, 8
14047199198513, W, 24576, 1174527960, 48
14050885684729, W, 131072, 1176628928, 256
14050885699548, W, 131072, 1176629184, 256
14050885711140, W, 131072, 1176629440, 256
14050885721330, W, 131072, 1176629696, 256
14050885731840, W, 131072, 1176629952, 256
14050885741218, W, 131072, 1176630208, 256
14050885750456, W, 131072, 1176630464, 256
14050885774462, W, 131072, 1176630720, 256
14050886642336, W, 131072, 1176630976, 256
14050886652045, W, 131072, 1176631232, 256
14050886660771, W, 131072, 1176631488, 256
14050886669679, W, 131072, 1176631744, 256
14050886677714, W, 131072, 1176632000, 256
14050886973264, W, 131072, 1176632272, 256
14050886978364, W, 8192, 1176632256, 16
14050886987311, W, 131072, 1176632528, 256
14050887011378, W, 131072, 1176632784, 256
14050887416619, W, 98304, 1176633040, 192
14051788413776, WSM, 102400, 975801088, 200
14051788936854, FF, 0, 0, 0
14051790713039, WFSM, 4096, 975801288, 8
14051807063316, W, 4096, 1172789240, 8
14051807133552, WM, 4096, 1050624, 8
14051807141337, WM, 4096, 1050888, 8
14051807146136, WM, 4096, 1050904, 8
14051807150715, WM, 4096, 1051072, 8
14051807155534, WM, 4096, 1051168, 8
14051807162177, WM, 8192, 1051184, 16
14051807166726, WM, 4096, 1051464, 8
14051807171405, WM, 4096, 525394320, 8
14051807176064, WM, 4096, 550504576, 8
14051807181033, WM, 4096, 550506232, 8
14051807185592, WM, 4096, 550506408, 8
14051807190281, WM, 4096, 550574120, 8
14051807194910, WM, 4096, 579864752, 8
14051807199439, WM, 4096, 579864792, 8
14051807204278, WM, 4096, 579869904, 8
14051807208857, WM, 4096, 579869968, 8
14051807322276, WM, 4096, 579889504, 8
14051807327075, WM, 4096, 579890552, 8
14051807331523, WM, 4096, 579910264, 8
14051807336022, WM, 4096, 579940928, 8
14051807340491, WM, 4096, 579941128, 8
14051807346512, WM, 8192, 856698536, 16
14051807351131, WM, 4096, 857032168, 8
14051807355820, WM, 4096, 927991936, 8
14051807360439, WM, 4096, 927992064, 8
14051807364828, WM, 4096, 927992088, 8
14051807369366, WM, 4096, 928073952, 8
14051807373855, WM, 4096, 1133512720, 8
14051807379396, WM, 8192, 1133512784, 16
14051807384005, WM, 4096, 1150292688, 8
14051807388533, WM, 4096, 1171261536, 8
14051807393052, WM, 4096, 1175455776, 8
14051807458368, WM, 4096, 1750075768, 8
14051807463949, WM, 4096, 1750075448, 8
14051807468608, WM, 4096, 1745882184, 8
14052319180256, W, 4096, 1139356296, 8
14052319188392, W, 4096, 1138792416, 8
14052319197259, W, 8192, 1174528000, 16
14052319202168, W, 4096, 1136379400, 8
14052394049786, WS, 65536, 1136400216, 128
14052394230034, WSM, 61440, 975801296, 120
14052394312643, FF, 0, 0, 0
14052398033528, WFSM, 4096, 975801416, 8
14052398705624, WSM, 12288, 975801424, 24
14052398759818, FF, 0, 0, 0
14052400525903, WFSM, 4096, 975801448, 8
14052401533937, WS, 4096, 1136400216, 8
14052401603050, WSM, 16384, 975801456, 32
14052401641905, FF, 0, 0, 0
14052403664495, WFSM, 4096, 975801488, 8
14052404809503, WS, 4096, 1133153944, 8
14052404817929, WS, 4096, 1133152720, 8
14052404824372, WS, 4096, 1133152368, 8
14052404830814, WS, 4096, 1138852112, 8
14052404836946, WS, 4096, 1138851736, 8
14052404843328, WS, 4096, 1138851640, 8
14052404849440, WS, 4096, 1138851120, 8
14052404855682, WS, 4096, 1138851040, 8
14052404862275, WS, 4096, 1138850568, 8
14052404868417, WS, 4096, 1138850464, 8
14052404874879, WS, 4096, 1138850216, 8
14052404881652, WS, 4096, 1138850168, 8
14052404888115, WS, 4096, 1138850104, 8
14052404894647, WS, 4096, 1138850072, 8
14052404900979, WS, 4096, 1138850016, 8
14052404910418, WS, 8192, 1138849976, 16
14052404916850, WS, 4096, 1863394720, 8
14052404923433, WS, 4096, 94544784, 8
14052404929675, WS, 4096, 1764146032, 8
14052404936468, WS, 4096, 152320712, 8
14052405051971, WSM, 16384, 975801496, 32
14052405096025, FF, 0, 0, 0
14052407026598, WFSM, 4096, 975801528, 8
14052408273933, WS, 24576, 1136371000, 48
14052408380629, WSM, 53248, 975801536, 104
14052408427990, FF, 0, 0, 0
14052410127607, WFSM, 4096, 975801640, 8
14052411192982, WSM, 12288, 975801648, 24
14052411220114, FF, 0, 0, 0
